ORDERDATE,PRODUCTLINE,CUSTOMERNAME,COUNTRY,SALES,QUANTITYORDERED,PRICEEACH,STATUS
2003-10-11,Classic Cars,"Men 'R' US Retailers, Ltd.",USA,3364.9,38,88.55,Shipped
2003-11-04,Classic Cars,Mini Auto Werke,Austria,1262.8,20,63.14,Shipped
2003-11-12,Classic Cars,Herkku Gifts,Norway,1626.24,22,73.92,Shipped
2003-11-20,Classic Cars,Online Diecast Creations Co.,USA,4088.7,45,90.86,Shipped
2003-12-02,Classic Cars,Euro Shopping Channel,Spain,3846.15,45,85.47,Shipped
2004-01-16,Classic Cars,Euro Shopping Channel,Spain,1339.8,20,66.99,Shipped
2004-02-22,Classic Cars,"Vida Sport, Ltd",Switzerland,3039.96,47,64.68,Shipped
2004-04-12,Classic Cars,"Oulu Toy Supplies, Inc.",Finland,3400.32,46,73.92,Shipped
2004-06-01,Classic Cars,"UK Collectables, Ltd.",UK,1930.39,23,83.93,Cancelled
2004-07-06,Classic Cars,L'ordine Souveniers,Italy,2464.77,33,74.69,Shipped
2004-08-06,Classic Cars,Signal Gift Stores,USA,2634.94,29,90.86,Shipped
2004-08-30,Classic Cars,"Vida Sport, Ltd",Switzerland,3625.16,44,82.39,Shipped
2003-10-04,Classic Cars,"Blauer See Auto, Co.",Germany,3788.4,41,92.4,Shipped
2004-10-16,Classic Cars,"Toms Spezialitten, Ltd",Germany,1832.6,20,91.63,Shipped
2004-11-04,Classic Cars,FunGiftIdeas.com,USA,2905.98,37,78.54,Shipped
2004-11-15,Classic Cars,Land of Toys Inc.,USA,2954.81,29,100.0,Shipped
2004-11-24,Classic Cars,"Australian Collectors, Co.",Australia,3599.75,55,65.45,Shipped
2005-01-06,Classic Cars,Suominen Souveniers,Finland,3686.54,22,100.0,Shipped
2005-02-09,Classic Cars,"Toys of Finland, Co.",Finland,2100.56,31,67.76,Shipped
2005-03-03,Classic Cars,Scandinavian Gift Ideas,Sweden,3881.78,49,79.22,Shipped
2005-04-14,Classic Cars,Mini Caravy,France,4509.12,61,73.92,Shipped
2005-05-17,Classic Cars,Salzburg Collectables,Austria,3273.27,39,83.93,Shipped
2003-03-10,Classic Cars,Motor Mint Distributors Inc.,USA,4432.7,38,100.0,Shipped
2003-05-08,Classic Cars,Marseille Mini Autos,France,4100.99,31,100.0,Shipped
2003-07-04,Classic Cars,Alpha Cognac,France,5274.72,36,100.0,Shipped
2003-09-11,Classic Cars,"Anna's Decorations, Ltd",Australia,4232.0,25,100.0,Shipped
2003-10-17,Classic Cars,Heintze Collectables,Denmark,6145.44,48,100.0,Shipped
2003-11-05,Classic Cars,Quebec Home Shopping Network,Canada,4680.2,35,100.0,Shipped
2003-11-12,Classic Cars,Herkku Gifts,Norway,3286.08,21,100.0,Shipped
2003-11-20,Classic Cars,Online Diecast Creations Co.,USA,7421.3,47,100.0,Shipped
2003-12-02,Classic Cars,Muscle Machine Inc,USA,6432.64,38,100.0,Shipped
2004-01-16,Classic Cars,Euro Shopping Channel,Spain,4840.87,41,100.0,Shipped
2004-02-26,Classic Cars,Collectable Mini Designs Co.,USA,3892.08,24,100.0,Shipped
2004-04-13,Classic Cars,Osaka Souveniers Co.,Japan,5526.32,37,100.0,Shipped
2004-06-01,Classic Cars,"UK Collectables, Ltd.",UK,4459.62,33,100.0,Cancelled
2004-07-06,Classic Cars,L'ordine Souveniers,Italy,6203.4,49,100.0,Shipped
2004-08-06,Classic Cars,Signal Gift Stores,USA,3754.05,29,100.0,Shipped
2004-08-30,Classic Cars,"Vida Sport, Ltd",Switzerland,3516.48,24,100.0,Shipped
2003-10-05,Classic Cars,"Norway Gifts By Mail, Co.",Norway,7488.04,47,100.0,Shipped
2004-10-16,Classic Cars,"Toms Spezialitten, Ltd",Germany,3448.08,24,100.0,Shipped
2004-11-04,Classic Cars,FunGiftIdeas.com,USA,3734.0,25,100.0,Shipped
2004-11-17,Classic Cars,Motor Mint Distributors Inc.,USA,974.1,30,32.47,Shipped
2004-11-24,Classic Cars,"Australian Collectors, Co.",Australia,3160.74,22,100.0,Shipped
2004-12-09,Classic Cars,Lyon Souveniers,France,1746.63,27,64.69,Shipped
2005-01-10,Classic Cars,Royale Belge,Belgium,4207.84,34,100.0,Shipped
2005-02-09,Classic Cars,"Toys of Finland, Co.",Finland,4352.76,36,100.0,Shipped
2005-03-04,Classic Cars,Mini Gifts Distributors Ltd.,USA,1463.7,34,43.05,Shipped
2005-04-15,Classic Cars,Danish Wholesale Imports,Denmark,7169.28,48,100.0,Disputed
2005-05-17,Classic Cars,Salzburg Collectables,Austria,4594.76,34,100.0,Shipped
2003-01-31,Classic Cars,Euro Shopping Channel,Spain,3457.92,24,100.0,Shipped
2003-04-04,Classic Cars,Classic Legends Inc.,USA,7381.16,46,100.0,Shipped
2003-06-03,Classic Cars,Muscle Machine Inc,USA,7146.9,45,100.0,Shipped
2003-08-01,Classic Cars,Suominen Souveniers,Finland,5938.53,39,100.0,Shipped
2003-09-21,Classic Cars,"Oulu Toy Supplies, Inc.",Finland,7110.91,43,100.0,Shipped
2003-10-22,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,5032.95,29,100.0,Shipped
2003-11-06,Classic Cars,L'ordine Souveniers,Italy,3667.6,20,100.0,Shipped
2003-11-14,Classic Cars,"Iberia Gift Imports, Corp.",Spain,7381.16,46,100.0,Shipped
2003-11-25,Classic Cars,Mini Classics,USA,5128.11,27,100.0,Shipped
2003-12-09,Classic Cars,Diecast Collectables,USA,7060.24,44,100.0,Shipped
2004-02-10,Classic Cars,Signal Collectibles Ltd.,USA,8448.64,43,100.0,Shipped
2004-03-15,Classic Cars,"Blauer See Auto, Co.",Germany,7300.51,49,100.0,Shipped
2004-05-05,Classic Cars,Euro Shopping Channel,Spain,6549.2,40,100.0,Shipped
2004-06-15,Classic Cars,Handji Gifts& Co,Singapore,5697.9,30,100.0,Shipped
2004-07-20,Classic Cars,Mini Gifts Distributors Ltd.,USA,9169.0,50,100.0,Shipped
2004-08-20,Classic Cars,Mini Gifts Distributors Ltd.,USA,3238.63,23,100.0,Shipped
2004-09-08,Classic Cars,Land of Toys Inc.,USA,4554.94,26,100.0,Shipped
2004-10-13,Classic Cars,Marta's Replicas Co.,USA,3934.44,27,100.0,Shipped
2004-10-22,Classic Cars,Heintze Collectables,Denmark,5776.26,42,100.0,Shipped
2004-11-05,Classic Cars,Vitachrome Inc.,USA,7207.45,47,100.0,Shipped
2004-11-20,Classic Cars,"La Corne D'abondance, Co.",France,7460.74,49,100.0,Shipped
2004-12-01,Classic Cars,Muscle Machine Inc,USA,6719.54,38,100.0,Shipped
2004-12-10,Classic Cars,Euro Shopping Channel,Spain,2428.0,20,100.0,Shipped
2005-01-23,Classic Cars,Mini Gifts Distributors Ltd.,USA,2602.25,25,100.0,Shipped
2005-02-17,Classic Cars,Mini Gifts Distributors Ltd.,USA,2200.0,25,88.0,Shipped
2005-05-03,Classic Cars,Euro Shopping Channel,Spain,6712.93,41,100.0,Shipped
2005-05-31,Classic Cars,La Rochelle Gifts,France,5318.04,28,100.0,In Process
2003-01-06,Vintage Cars,Online Diecast Creations Co.,USA,3390.0,50,67.8,Shipped
2003-03-18,Vintage Cars,"AV Stores, Co.",UK,1608.0,32,50.25,Shipped
2003-05-21,Vintage Cars,Signal Gift Stores,USA,2262.96,42,53.88,Shipped
2003-09-12,Vintage Cars,Signal Collectibles Ltd.,USA,1496.64,24,62.36,Shipped
2003-10-18,Vintage Cars,Corporate Gift Ideas Co.,USA,1879.74,27,69.62,Shipped
2003-11-05,Vintage Cars,Rovelli Gifts,Italy,1495.26,26,57.51,Shipped
2003-11-12,Vintage Cars,Mini Gifts Distributors Ltd.,USA,2323.7,38,61.15,Shipped
2003-11-21,Vintage Cars,"Australian Collectables, Ltd",Australia,2491.86,42,59.33,Shipped
2003-12-02,Vintage Cars,Muscle Machine Inc,USA,1643.12,23,71.44,Shipped
2004-01-26,Vintage Cars,"Corrida Auto Replicas, Ltd",Spain,1322.16,21,62.96,Shipped
2004-03-02,Vintage Cars,"Saveley & Henriot, Co.",France,1423.8,28,50.85,Shipped
2004-04-13,Vintage Cars,Mini Caravy,France,2397.45,33,72.65,Shipped
2004-08-17,Vintage Cars,Amica Models & Co.,Italy,1574.0,25,62.96,Shipped
2004-09-01,Vintage Cars,Handji Gifts& Co,Singapore,1729.0,28,61.75,Shipped
2004-10-06,Vintage Cars,"Iberia Gift Imports, Corp.",Spain,2255.84,46,49.04,Shipped
2004-10-21,Vintage Cars,Mini Gifts Distributors Ltd.,USA,1834.5,30,61.15,Shipped
2004-11-17,Vintage Cars,"AV Stores, Co.",UK,3201.5,38,84.25,Shipped
2004-11-25,Vintage Cars,Marseille Mini Autos,France,2276.4,40,56.91,Shipped
2005-01-12,Vintage Cars,Toys4GrownUps.com,USA,8884.8,45,100.0,Resolved
2005-02-10,Vintage Cars,Euro Shopping Channel,Spain,1331.1,27,49.3,Shipped
2005-04-22,Vintage Cars,The Sharp Gifts Warehouse,USA,3051.3,42,72.65,On Hold
2005-05-29,Vintage Cars,Souveniers And Things Co.,Australia,2288.52,36,63.57,In Process
2003-01-31,Trucks and Buses,Euro Shopping Channel,Spain,3772.61,29,100.0,Shipped
2003-04-01,Trucks and Buses,"La Corne D'abondance, Co.",France,4164.42,39,100.0,Shipped
2003-06-03,Trucks and Buses,Muscle Machine Inc,USA,6295.95,45,100.0,Shipped
2003-08-01,Trucks and Buses,Suominen Souveniers,Finland,6287.66,47,100.0,Shipped
2003-09-21,Trucks and Buses,"Oulu Toy Supplies, Inc.",Finland,5412.54,49,100.0,Shipped
2003-10-22,Trucks and Buses,"Dragon Souveniers, Ltd.",Singapore,5984.14,46,100.0,Shipped
2003-11-06,Trucks and Buses,"Stylish Desk Decors, Co.",UK,5891.04,48,100.0,Shipped
2003-11-14,Trucks and Buses,"Iberia Gift Imports, Corp.",Spain,5984.14,46,100.0,Shipped
2003-11-25,Trucks and Buses,Mini Classics,USA,3608.15,35,100.0,Shipped
2003-12-09,Trucks and Buses,Diecast Collectables,USA,5752.54,43,100.0,Shipped
2004-03-11,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,3765.32,26,100.0,Shipped
2004-05-05,Trucks and Buses,Euro Shopping Channel,Spain,2159.96,22,98.18,Shipped
2004-06-15,Trucks and Buses,Handji Gifts& Co,Singapore,3379.94,34,99.41,Shipped
2004-07-20,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,5093.5,50,100.0,Shipped
2004-08-19,Trucks and Buses,Diecast Classics Inc.,USA,5773.44,48,100.0,Shipped
2004-09-08,Trucks and Buses,Land of Toys Inc.,USA,4528.86,41,100.0,Shipped
2004-10-13,Trucks and Buses,Marta's Replicas Co.,USA,4816.08,36,100.0,Shipped
2004-10-22,Trucks and Buses,Canadian Gift Exchange Network,Canada,3416.78,29,100.0,Shipped
2004-11-05,Trucks and Buses,Vitachrome Inc.,USA,1236.84,33,37.48,Shipped
2004-11-19,Trucks and Buses,"Volvo Model Replicas, Co",Sweden,5814.86,46,100.0,On Hold
2004-12-01,Trucks and Buses,Muscle Machine Inc,USA,5223.48,38,100.0,Shipped
2004-12-10,Trucks and Buses,Euro Shopping Channel,Spain,728.4,20,36.42,Shipped
2005-01-20,Trucks and Buses,"Anna's Decorations, Ltd",Australia,3949.0,22,100.0,Shipped
2005-02-22,Trucks and Buses,Euro Shopping Channel,Spain,3843.99,27,100.0,Shipped
2005-05-03,Trucks and Buses,Euro Shopping Channel,Spain,5498.08,56,98.18,Shipped
2005-05-31,Trucks and Buses,La Rochelle Gifts,France,3777.58,38,99.41,In Process
2003-01-09,Vintage Cars,"Blauer See Auto, Co.",Germany,3782.0,25,100.0,Shipped
2003-03-18,Vintage Cars,"AV Stores, Co.",UK,3859.68,33,100.0,Shipped
2003-05-21,Vintage Cars,Signal Gift Stores,USA,4431.84,42,100.0,Shipped
2003-09-12,Vintage Cars,Signal Collectibles Ltd.,USA,4950.33,33,100.0,Shipped
2003-10-18,Vintage Cars,Corporate Gift Ideas Co.,USA,4299.7,38,100.0,Shipped
2003-11-05,Vintage Cars,Rovelli Gifts,Italy,4492.83,31,100.0,Shipped
2003-11-12,Vintage Cars,Mini Gifts Distributors Ltd.,USA,2212.0,20,100.0,Shipped
2003-11-21,Vintage Cars,"Australian Collectables, Ltd",Australia,4642.88,44,100.0,Shipped
2003-12-02,Vintage Cars,Muscle Machine Inc,USA,3206.32,26,100.0,Shipped
2004-01-26,Vintage Cars,"Corrida Auto Replicas, Ltd",Spain,3604.23,27,100.0,Shipped
2004-03-02,Vintage Cars,"Saveley & Henriot, Co.",France,7017.76,46,100.0,Shipped
2004-04-26,Vintage Cars,Diecast Collectables,USA,6154.18,47,100.0,Shipped
2004-08-17,Vintage Cars,Amica Models & Co.,Italy,4750.8,37,100.0,Shipped
2004-09-01,Vintage Cars,Handji Gifts& Co,Singapore,3822.92,31,100.0,Shipped
2004-10-11,Vintage Cars,Auto Assoc. & Cie.,France,2440.8,24,100.0,Shipped
2004-10-21,Vintage Cars,Mini Gifts Distributors Ltd.,USA,4729.36,31,100.0,Shipped
2004-11-04,Vintage Cars,Online Diecast Creations Co.,USA,12536.5,50,100.0,Shipped
2004-11-17,Vintage Cars,"AV Stores, Co.",UK,2264.15,35,64.69,Shipped
2004-11-25,Vintage Cars,Marseille Mini Autos,France,3928.2,30,100.0,Shipped
2004-12-09,Vintage Cars,Lyon Souveniers,France,3630.22,29,100.0,Shipped
2005-01-12,Vintage Cars,Toys4GrownUps.com,USA,4196.07,27,100.0,Resolved
2005-02-16,Vintage Cars,Euro Shopping Channel,Spain,4931.6,40,100.0,Shipped
2005-03-04,Vintage Cars,Mini Gifts Distributors Ltd.,USA,3068.69,31,98.99,Shipped
2005-04-23,Vintage Cars,Handji Gifts& Co,Singapore,785.64,6,100.0,Shipped
2005-05-29,Vintage Cars,Souveniers And Things Co.,Australia,4977.0,45,100.0,In Process
2003-01-29,Trucks and Buses,Baane Mini Imports,Norway,1189.98,22,54.09,Shipped
2003-04-01,Trucks and Buses,"La Corne D'abondance, Co.",France,3090.15,45,68.67,Shipped
2003-05-28,Trucks and Buses,"Corrida Auto Replicas, Ltd",Spain,2795.86,43,65.02,Shipped
2003-07-24,Trucks and Buses,Technics Stores Inc.,USA,2851.54,46,61.99,Shipped
2003-09-21,Trucks and Buses,"Oulu Toy Supplies, Inc.",Finland,2701.92,39,69.28,Shipped
2003-10-22,Trucks and Buses,"Dragon Souveniers, Ltd.",Singapore,2204.1,31,71.1,Shipped
2003-11-06,Trucks and Buses,"Stylish Desk Decors, Co.",UK,2840.48,41,69.28,Shipped
2003-11-14,Trucks and Buses,"Iberia Gift Imports, Corp.",Spain,2647.04,44,60.16,Shipped
2003-11-25,Trucks and Buses,"Saveley & Henriot, Co.",France,3172.05,45,70.49,Shipped
2003-12-09,Trucks and Buses,Diecast Collectables,USA,2585.93,37,69.89,Shipped
2004-02-04,Trucks and Buses,Handji Gifts& Co,Singapore,2148.3,35,61.38,Shipped
2004-03-11,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,1667.4,28,59.55,Shipped
2004-05-05,Trucks and Buses,Euro Shopping Channel,Spain,1859.7,30,61.99,Shipped
2004-06-15,Trucks and Buses,Handji Gifts& Co,Singapore,1476.6,30,49.22,Shipped
2004-07-20,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,1732.0,25,69.28,Shipped
2004-08-19,Trucks and Buses,Diecast Classics Inc.,USA,1674.17,29,57.73,Shipped
2004-09-08,Trucks and Buses,Scandinavian Gift Ideas,Sweden,1500.98,26,57.73,Shipped
2004-10-13,Trucks and Buses,Marta's Replicas Co.,USA,2192.68,41,53.48,Shipped
2004-10-22,Trucks and Buses,Canadian Gift Exchange Network,Canada,1797.58,34,52.87,Shipped
2004-11-04,Trucks and Buses,Online Diecast Creations Co.,USA,2142.35,35,61.21,Shipped
2004-11-19,Trucks and Buses,"Volvo Model Replicas, Co",Sweden,2086.92,34,61.38,On Hold
2004-11-29,Trucks and Buses,"Australian Collectors, Co.",Australia,6834.5,50,100.0,Shipped
2004-12-10,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,2541.59,41,61.99,Shipped
2005-01-20,Trucks and Buses,"Anna's Decorations, Ltd",Australia,2130.92,22,96.86,Shipped
2005-02-17,Trucks and Buses,Corporate Gift Ideas Co.,USA,1701.7,35,48.62,Shipped
2005-03-09,Trucks and Buses,"Anna's Decorations, Ltd",Australia,1694.0,44,38.5,Shipped
2005-05-03,Trucks and Buses,Euro Shopping Channel,Spain,2913.53,47,61.99,Shipped
2005-05-31,Trucks and Buses,La Rochelle Gifts,France,935.18,19,49.22,In Process
2003-02-17,Planes,Rovelli Gifts,Italy,3073.26,34,90.39,Shipped
2003-04-29,Planes,"Australian Collectors, Co.",Australia,2082.49,29,71.81,Shipped
2003-06-27,Planes,Euro Shopping Channel,Spain,3394.23,49,69.27,Shipped
2003-08-25,Planes,Toys4GrownUps.com,USA,2559.6,30,85.32,Shipped
2003-10-28,Planes,Technics Stores Inc.,USA,1490.16,21,70.96,Shipped
2004-01-12,Planes,Osaka Souveniers Co.,Japan,3844.0,50,76.88,Shipped
2004-02-20,Planes,"Australian Collectors, Co.",Australia,4724.91,47,100.0,Shipped
2004-04-02,Planes,"Royal Canadian Collectables, Ltd.",Canada,1824.72,24,76.03,Shipped
2004-05-11,Planes,The Sharp Gifts Warehouse,USA,2668.68,27,98.84,Shipped
2004-06-28,Planes,Gift Depot Inc.,USA,2843.61,33,86.17,Shipped
2004-07-23,Planes,La Rochelle Gifts,France,3163.65,35,90.39,Shipped
2004-08-21,Planes,"Norway Gifts By Mail, Co.",Norway,2226.11,31,71.81,Shipped
2004-09-16,Planes,"Clover Collections, Co.",Ireland,2069.75,25,82.79,Shipped
2004-10-15,Planes,Mini Classics,USA,2235.33,27,82.79,Shipped
2004-11-02,Planes,Diecast Classics Inc.,USA,3116.43,31,100.0,Shipped
2004-11-10,Planes,Danish Wholesale Imports,Denmark,4781.7,45,100.0,Resolved
2004-11-23,Planes,"Tokyo Collectables, Ltd",Japan,2810.7,27,100.0,Shipped
2004-12-04,Planes,Gift Ideas Corp.,USA,3515.67,27,100.0,Shipped
2005-02-02,Planes,"Australian Gift Network, Co",Australia,2909.34,42,69.27,Shipped
2005-03-01,Planes,Euro Shopping Channel,Spain,1570.17,21,74.77,Resolved
2005-03-30,Planes,Reims Collectables,France,2613.92,34,76.88,Shipped
2005-04-03,Planes,Tekni Collectables Inc.,USA,3193.26,42,76.03,On Hold
2005-05-10,Planes,L'ordine Souveniers,Italy,1482.6,15,98.84,Shipped
2003-02-24,Motorcycles,Land of Toys Inc.,USA,2055.23,29,70.87,Shipped
2003-04-29,Motorcycles,"Australian Collectors, Co.",Australia,2674.9,46,58.15,Shipped
2003-07-01,Motorcycles,Lyon Souveniers,France,1853.4,30,61.78,Shipped
2003-08-25,Motorcycles,Toys4GrownUps.com,USA,1490.1,30,49.67,Shipped
2003-10-10,Motorcycles,Corporate Gift Ideas Co.,USA,2162.16,42,51.48,Shipped
2003-10-28,Motorcycles,Technics Stores Inc.,USA,2814.28,46,61.18,Shipped
2003-11-11,Motorcycles,Daedalus Designs Imports,France,1605.0,25,64.2,Shipped
2003-11-18,Motorcycles,Herkku Gifts,Norway,2093.44,32,65.42,Shipped
2003-12-01,Motorcycles,Mini Wheels Co.,USA,1944.3,30,64.81,Shipped
2004-01-12,Motorcycles,Osaka Souveniers Co.,Japan,1986.8,40,49.67,Shipped
2004-02-20,Motorcycles,"Australian Collectors, Co.",Australia,1695.96,28,60.57,Shipped
2004-04-03,Motorcycles,Motor Mint Distributors Inc.,USA,1281.56,23,55.72,Shipped
2004-05-18,Motorcycles,Tekni Collectables Inc.,USA,1774.22,29,61.18,Shipped
2004-06-28,Motorcycles,Gift Depot Inc.,USA,1997.5,34,58.75,Shipped
2004-07-23,Motorcycles,La Rochelle Gifts,France,2353.2,37,63.6,Shipped
2004-08-27,Motorcycles,Marta's Replicas Co.,USA,981.2,20,49.06,Shipped
2004-09-27,Motorcycles,Atelier graphique,France,1550.72,32,48.46,Shipped
2004-10-15,Motorcycles,Mini Classics,USA,1771.06,34,52.09,Shipped
2004-11-02,Motorcycles,Diecast Classics Inc.,USA,2213.4,42,52.7,Shipped
2004-11-15,Motorcycles,Land of Toys Inc.,USA,5266.04,38,100.0,Shipped
2004-11-23,Motorcycles,"Tokyo Collectables, Ltd",Japan,1864.8,30,62.16,Shipped
2005-01-05,Motorcycles,Technics Stores Inc.,USA,1142.41,23,49.67,Shipped
2005-02-02,Motorcycles,"Australian Gift Network, Co",Australia,1172.6,22,53.3,Shipped
2005-03-03,Motorcycles,Scandinavian Gift Ideas,Sweden,6981.0,39,100.0,Shipped
2005-04-07,Motorcycles,Auto Canal Petit,France,3064.6,55,55.72,Shipped
2005-05-13,Motorcycles,Euro Shopping Channel,Spain,2202.48,36,61.18,Disputed
2003-01-09,Vintage Cars,"Blauer See Auto, Co.",Germany,3773.38,26,100.0,Shipped
2003-03-18,Vintage Cars,"AV Stores, Co.",UK,5074.39,31,100.0,Shipped
2003-05-21,Vintage Cars,"Australian Collectors, Co.",Australia,6483.46,34,100.0,Shipped
2003-07-16,Vintage Cars,Souveniers And Things Co.,Australia,7956.46,41,100.0,Shipped
2003-09-12,Vintage Cars,Signal Collectibles Ltd.,USA,4230.62,23,100.0,Shipped
2003-10-18,Vintage Cars,Corporate Gift Ideas Co.,USA,7209.12,48,100.0,Shipped
2003-11-05,Vintage Cars,Rovelli Gifts,Italy,3452.68,22,100.0,Shipped
2003-11-12,Vintage Cars,Mini Gifts Distributors Ltd.,USA,3047.73,21,100.0,Shipped
2003-11-21,Vintage Cars,"Australian Collectables, Ltd",Australia,3675.32,22,100.0,Shipped
2003-12-03,Vintage Cars,Euro Shopping Channel,Spain,7492.4,40,100.0,Shipped
2004-01-26,Vintage Cars,"Corrida Auto Replicas, Ltd",Spain,9534.5,50,100.0,Shipped
2004-03-02,Vintage Cars,"Saveley & Henriot, Co.",France,5579.02,29,100.0,Shipped
2004-04-29,Vintage Cars,Euro Shopping Channel,Spain,5950.34,43,100.0,Shipped
2004-06-04,Vintage Cars,Mini Caravy,France,3726.0,24,100.0,Shipped
2004-08-17,Vintage Cars,Amica Models & Co.,Italy,4455.0,22,100.0,Shipped
2004-09-03,Vintage Cars,Herkku Gifts,Norway,8272.34,43,100.0,Shipped
2004-10-11,Vintage Cars,Auto Assoc. & Cie.,France,3577.6,20,100.0,Shipped
2004-10-21,Vintage Cars,Mini Gifts Distributors Ltd.,USA,3881.25,25,100.0,Shipped
2004-11-04,Vintage Cars,Online Diecast Creations Co.,USA,5797.44,36,100.0,Shipped
2004-11-17,Vintage Cars,"AV Stores, Co.",UK,1264.08,24,52.67,Shipped
2004-11-29,Vintage Cars,"Australian Collectors, Co.",Australia,4815.3,21,100.0,Shipped
2004-12-09,Vintage Cars,Lyon Souveniers,France,4462.2,30,100.0,Shipped
2005-01-12,Vintage Cars,Toys4GrownUps.com,USA,3033.28,32,94.79,Resolved
2005-02-16,Vintage Cars,Euro Shopping Channel,Spain,990.78,21,47.18,Shipped
2005-03-04,Vintage Cars,Mini Gifts Distributors Ltd.,USA,2030.86,26,78.11,Shipped
2005-05-29,Vintage Cars,Mini Gifts Distributors Ltd.,USA,5433.75,35,100.0,In Process
2003-03-10,Classic Cars,Motor Mint Distributors Inc.,USA,3157.44,26,100.0,Shipped
2003-05-20,Classic Cars,Atelier graphique,France,5161.2,46,100.0,Shipped
2003-07-10,Classic Cars,Reims Collectables,France,4346.76,37,100.0,Shipped
2003-09-11,Classic Cars,"Anna's Decorations, Ltd",Australia,3528.36,27,100.0,Shipped
2003-10-17,Classic Cars,Heintze Collectables,Denmark,3187.8,23,100.0,Shipped
2003-11-05,Classic Cars,Gift Depot Inc.,USA,6023.16,39,100.0,Shipped
2003-11-12,Classic Cars,Herkku Gifts,Norway,3884.76,27,100.0,Shipped
2003-11-20,Classic Cars,Online Diecast Creations Co.,USA,4965.84,38,100.0,Shipped
2003-12-02,Classic Cars,Muscle Machine Inc,USA,4169.88,27,100.0,Shipped
2004-01-16,Classic Cars,Euro Shopping Channel,Spain,4910.4,40,100.0,Shipped
2004-02-26,Classic Cars,Collectable Mini Designs Co.,USA,3231.36,24,100.0,Shipped
2004-04-13,Classic Cars,Mini Caravy,France,6853.44,44,100.0,Shipped
2004-06-01,Classic Cars,"UK Collectables, Ltd.",UK,5177.04,37,100.0,Cancelled
2004-07-06,Classic Cars,L'ordine Souveniers,Italy,2824.8,20,100.0,Shipped
2004-08-06,Classic Cars,Signal Gift Stores,USA,4324.32,39,100.0,Shipped
2004-08-30,Classic Cars,"Vida Sport, Ltd",Switzerland,5052.96,44,100.0,Shipped
2003-10-05,Classic Cars,"Norway Gifts By Mail, Co.",Norway,3223.44,22,100.0,Shipped
2004-10-16,Classic Cars,Euro Shopping Channel,Spain,5278.68,43,100.0,Shipped
2004-11-04,Classic Cars,FunGiftIdeas.com,USA,2851.2,27,100.0,Shipped
2004-11-17,Classic Cars,Motor Mint Distributors Inc.,USA,1687.4,26,64.9,Shipped
2004-11-24,Classic Cars,Reims Collectables,France,1308.0,25,52.32,Shipped
2005-01-10,Classic Cars,Royale Belge,Belgium,6144.6,49,100.0,Shipped
2005-02-10,Classic Cars,Euro Shopping Channel,Spain,5127.2,29,100.0,Shipped
2005-04-22,Classic Cars,The Sharp Gifts Warehouse,USA,6386.16,41,100.0,On Hold
2005-05-17,Classic Cars,Salzburg Collectables,Austria,7695.6,55,100.0,Shipped
2003-01-29,Vintage Cars,Baane Mini Imports,Norway,2242.89,27,83.07,Shipped
2003-03-24,Vintage Cars,"Volvo Model Replicas, Co",Sweden,2539.89,23,100.0,Shipped
2003-05-28,Vintage Cars,"Corrida Auto Replicas, Ltd",Spain,2795.27,31,90.17,Shipped
2003-07-16,Vintage Cars,Souveniers And Things Co.,Australia,5545.76,46,100.0,Shipped
2003-09-19,Vintage Cars,"Dragon Souveniers, Ltd.",Singapore,4285.46,47,91.18,Shipped
2003-10-20,Vintage Cars,Classic Legends Inc.,USA,3329.09,31,100.0,Shipped
2003-11-06,Vintage Cars,"Australian Gift Network, Co",Australia,5592.22,46,100.0,Shipped
2003-11-13,Vintage Cars,"Classic Gift Ideas, Inc",USA,3298.55,37,89.15,Shipped
2003-11-21,Vintage Cars,"Australian Collectables, Ltd",Australia,2609.88,28,93.21,Shipped
2003-12-05,Vintage Cars,Canadian Gift Exchange Network,Canada,3336.29,37,90.17,Shipped
2004-01-29,Vintage Cars,West Coast Collectables Co.,USA,5510.05,49,100.0,Shipped
2004-03-10,Vintage Cars,Cambridge Collectables Co.,USA,2504.4,24,100.0,Shipped
2004-04-29,Vintage Cars,Euro Shopping Channel,Spain,3525.6,30,100.0,Shipped
2004-06-14,Vintage Cars,The Sharp Gifts Warehouse,USA,4407.0,50,88.14,Shipped
2004-07-19,Vintage Cars,Souveniers And Things Co.,Australia,2983.44,31,96.24,Shipped
2004-08-17,Vintage Cars,Amica Models & Co.,Italy,5126.24,46,100.0,Shipped
2004-09-08,Vintage Cars,Scandinavian Gift Ideas,Sweden,5713.79,47,100.0,Shipped
2004-10-11,Vintage Cars,Auto Assoc. & Cie.,France,4613.8,46,100.0,Shipped
2004-10-21,Vintage Cars,Mini Gifts Distributors Ltd.,USA,3711.1,37,100.0,Shipped
2004-11-04,Vintage Cars,Online Diecast Creations Co.,USA,3524.73,33,100.0,Shipped
2004-11-18,Vintage Cars,Mini Wheels Co.,USA,2795.27,31,90.17,Shipped
2004-11-29,Vintage Cars,"Australian Collectors, Co.",Australia,4814.4,48,100.0,Shipped
